#{"t_start": 1730027363.159436, "env_id": "None"}
r,l,t
45.952091,127,491.970484
35.890417,98,494.388999
42.417173,118,494.843428
45.636414,135,495.377521
43.7678,125,495.868919
0.564466,4,495.961673
36.367118,102,496.359179
43.768878,126,496.844916
43.451718,122,497.311919
1.329559,6,497.414504
36.660773,98,497.816032
57.891376,167,498.417116
44.7427,126,498.88695
40.57906,119,499.375032
3.879183,14,499.498442
48.885707,131,499.983747
55.161732,154,500.527703
46.470783,137,501.0138
39.745647,121,501.440152
0.873792,5,501.535223
49.279769,146,502.063334
46.01029,137,504.516738
45.523078,129,505.136385
42.42432,125,505.726137
28.62234,79,527.08349
8.769174,27,527.243058
44.498809,117,527.676588
47.943574,133,528.149673
54.860359,150,528.695615
49.491159,134,529.217921
4.09659,14,529.344928
45.56859,138,529.840924
39.254725,106,530.243746
136.718476,411,531.546469
13.795896,40,531.745047
42.521079,123,532.207022
46.465815,134,532.734987
44.323755,128,535.542508
46.812173,131,536.097587
80.906901,234,536.94541
43.83418,123,537.520454
34.077543,96,537.904939
45.860996,130,538.49496
16.521288,46,538.781445
19.613623,58,539.048923
48.754863,137,539.577567
44.769724,129,540.087426
38.48887,107,540.529538
28.237389,76,540.870397
44.042575,126,541.339638
44.272424,135,541.82875
55.098636,153,542.402617
44.978183,122,542.872041
51.816737,145,543.43191
50.214794,133,545.92447
48.812971,136,546.418949
56.355695,156,546.963672
1.496299,7,547.063531
47.304757,133,547.555004
40.859248,124,548.000475
47.620934,134,548.49188
22.485983,65,548.766502
20.754987,60,549.02951
41.008986,126,549.497051
47.144574,138,549.984524
45.589763,132,550.456266
48.851415,133,550.932948
41.663941,119,551.368962
56.799431,157,551.901076
47.646482,139,552.409059
47.070473,137,552.897439
45.438473,138,555.295163
53.162262,144,555.806482
42.741802,120,556.246934
46.372415,133,556.731417
51.835222,147,557.267723
47.418512,127,557.743129
70.130548,195,558.422996
54.19491,148,558.987602
1.924648,8,559.091709
18.908478,52,559.330958
43.751614,129,559.796483
42.751383,119,560.236467
43.761259,122,560.687932
48.924545,135,561.157085
45.065707,123,561.617732
56.808208,159,562.182441
44.767829,123,562.639425
47.300645,125,565.036208
1.839895,8,565.140465
54.623702,156,565.707966
45.561121,130,566.18246
46.249174,130,566.669959
46.116853,129,567.153919
53.404553,155,567.714636
42.872094,122,568.162463
50.061811,146,568.700502
51.351652,142,569.260477
45.978676,124,569.81528
46.125496,124,570.295019
146.017453,414,571.686956
4.575054,16,571.816083
46.186257,125,572.282064
47.104423,131,574.657583
52.403331,142,608.76197
44.291552,125,609.465221
48.974821,138,610.051444
25.626895,68,610.398923
52.529734,139,610.955584
49.01375,153,611.520611
47.937559,128,612.098231
42.111764,116,612.536428
51.134478,139,613.051119
24.049461,68,613.344934
51.15479,142,613.876127
42.252988,132,614.362701
41.944391,129,614.847742
50.570521,137,615.400713
126.802719,380,618.827926
47.324691,137,619.372399
47.434798,135,619.869483
47.721398,128,620.371822
43.123596,122,620.838442
38.733227,108,621.258468
41.614422,117,621.697548
54.184866,152,622.24531
128.602158,354,623.485549
41.701762,114,623.918593
49.570325,139,624.483925
46.138113,130,624.967081
46.368159,128,625.435957
40.768375,116,627.897541
50.939664,136,628.400731
46.682419,138,628.90892
43.115249,122,629.377429
55.007174,155,629.968873
51.201045,147,630.502497
47.035792,130,630.99499
43.941804,118,631.449041
44.973497,130,631.95547
40.80367,114,632.399839
28.194964,74,632.717439
46.412562,124,633.211652
48.010943,133,633.716617
142.91767,432,635.179973
48.750157,129,637.515218
-0.010337,3,637.608423
8.027044,24,637.759159
52.749403,147,638.296576
47.540533,134,638.793368
43.859068,124,639.260095
42.704856,127,639.726768
7.062899,22,639.871931
56.545784,151,640.418896
45.842633,130,640.88148
50.543749,143,641.38592
48.229738,135,641.869842
39.773474,127,642.343427
48.971011,141,642.850919
54.507763,151,643.442414
48.115041,127,643.95098
49.702014,129,644.454941
0.491292,4,644.589923
12.33357,37,644.777471
21.859221,64,645.052926
51.254065,138,647.582629
76.581336,237,648.482023
53.474066,149,649.232929
49.665116,137,649.775043
53.586122,156,650.350689
142.452549,418,651.78452
44.459874,122,652.250965
51.264245,136,652.779658
54.747417,152,653.331842
48.608218,132,653.862213
47.391334,130,654.399244
48.712844,126,694.094794
52.992229,143,696.634891
44.165968,131,697.142023
146.938527,425,698.635741
53.48436,151,699.172627
24.762522,67,699.456459
125.499625,381,700.795043
45.7645,129,701.272493
47.444693,130,701.780128
51.251376,139,702.302428
46.602126,130,702.783612
44.704035,123,703.25787
48.543615,142,703.788056
46.89538,126,706.305558
46.782132,121,706.757535
58.027589,160,707.385933
45.890022,137,707.932948
47.511379,133,708.428504
48.534861,136,708.928936
44.226603,119,709.419534
141.332693,407,710.755234
45.500097,133,711.242054
43.069013,123,711.739957
33.02758,89,712.134585
15.542956,47,712.359016
49.343442,140,712.875514
42.79878,120,713.341487
43.663771,125,715.740498
0.030679,3,715.834689
96.1958,263,716.75343
52.609937,140,717.298219
40.694821,115,717.720106
58.130275,164,718.311964
41.855662,123,718.758468
50.684963,140,719.280051
57.534178,167,719.851585
47.340462,133,720.332493
46.721557,131,720.843507
51.282819,148,721.408708
148.933044,419,722.916166
47.527503,129,725.301448
40.763991,122,725.751725
48.409245,126,726.215538
47.495991,140,726.734557
131.539406,358,727.998153
41.991824,117,728.486984
49.673627,137,729.082433
57.422627,166,729.769272
45.85106,136,730.375978
48.96157,140,730.916922
48.140358,139,731.475032
48.801825,136,732.012777
151.694011,443,735.572625
26.280721,75,735.892894
131.390256,402,737.259861
52.256448,145,737.813536
45.460564,131,738.315162
42.889307,124,738.807299
220.561407,655,785.732379
49.790482,146,786.410688
47.7996,133,786.96495
49.873765,146,789.645169
135.145265,387,791.006551
128.966102,394,792.385552
41.729822,112,792.835106
80.86782,211,793.604842
48.629866,149,794.14843
45.624835,126,794.621353
10.359678,34,794.811706
51.565776,152,795.403374
51.753463,142,795.96492
0.063949,3,796.061469
50.61064,139,796.590932
45.603991,131,799.091675
121.33119,377,800.431437
50.317137,143,800.981
45.321257,139,801.512691
48.325679,139,802.041975
30.46633,83,802.39253
48.784909,137,802.897521
49.171074,132,803.403252
141.482142,417,804.883448
59.897277,160,805.496439
43.668399,124,806.023358
54.529324,144,806.592929
43.718836,124,809.152557
48.259433,133,809.666561
137.640706,418,811.565803
45.187131,127,812.19816
144.905221,436,814.204536
46.170023,130,814.82572
7.913876,26,815.033298
52.540531,150,815.763656
46.453637,131,816.404991
49.144773,135,817.039038
-0.5,1,817.136964
17.072571,51,817.461914
46.053658,129,818.104989
55.863983,147,821.257434
43.421916,116,821.820572
135.634311,410,823.633405
52.97418,154,824.336368
141.381537,419,826.139955
51.422933,145,826.836922
148.158934,432,828.716671
114.601643,326,831.918574
53.828883,152,832.487966
44.699141,118,833.001267
55.853973,156,833.62493
140.018366,422,835.353644
121.811736,369,836.697207
52.788608,157,837.312555
114.942846,315,859.704942
133.729627,408,863.614824
224.016479,676,866.034931
52.663857,148,866.604726
34.097357,95,867.003331
17.852367,51,867.255048
153.384172,439,868.719796
52.202329,140,869.265478
45.358447,130,869.758483
55.79854,145,870.3248
147.703114,409,873.774566
174.168565,513,875.528657
44.871213,122,876.014739
141.622694,436,877.570646
171.036662,519,879.343947
56.623452,164,879.943396
51.578666,145,882.494583
145.761955,417,883.958128
140.782706,386,885.22496
220.732494,693,887.631127
54.448077,150,888.219344
