#{"t_start": 1729962371.660071, "env_id": "None"}
r,l,t
-0.5,1,69.963059
-0.5,1,70.050458
-0.5,1,70.135697
-0.5,1,70.242222
-0.5,1,70.335502
-0.5,1,70.436216
-0.5,1,70.530673
-0.5,1,70.618892
-0.5,1,70.710221
-0.5,1,70.798027
-0.5,1,70.889496
-0.5,1,70.99087
-0.5,1,71.089875
-0.5,1,71.194475
-0.5,1,71.290874
-0.5,1,71.383979
-0.5,1,71.47145
-0.5,1,71.557368
-0.5,1,71.64898
-0.5,1,71.763031
-0.5,1,71.862186
-0.5,1,71.963352
-0.5,1,72.062393
-0.5,1,72.16563
-0.5,1,72.267266
-0.5,1,72.374644
-0.5,1,72.473313
-0.5,1,72.570772
-0.5,1,72.669079
-0.5,1,72.769369
-0.5,1,72.869186
-0.5,1,72.97102
-0.5,1,73.07335
-0.5,1,73.172935
-0.5,1,73.271965
-0.5,1,73.367363
-0.5,1,73.463489
-0.5,1,73.561401
-0.5,1,73.653936
-0.5,1,73.760753
-0.5,1,73.864026
-0.5,1,73.963879
-0.5,1,74.057935
-0.5,1,74.158268
-0.5,1,74.260416
-0.5,1,74.358379
-0.5,1,74.459397
-0.5,1,74.558663
-0.5,1,74.658308
-0.5,1,74.763484
-0.5,1,74.865077
-0.5,1,74.965717
-0.5,1,75.063791
-0.5,1,75.157854
-0.5,1,75.253452
-0.5,1,75.356938
-0.5,1,75.461202
-0.5,1,75.557325
-0.5,1,75.657401
-0.5,1,75.757873
-0.5,1,75.857875
-0.5,1,75.959344
-0.5,1,76.052489
-0.5,1,76.152674
-0.5,1,76.251955
-0.5,1,76.348581
-0.5,1,76.446259
-0.5,1,76.542521
-0.5,1,76.638668
-0.5,1,76.736123
-0.5,1,76.837143
-0.5,1,76.937829
-0.5,1,77.036104
-0.5,1,77.137233
-0.5,1,77.234422
-0.5,1,77.331906
-0.5,1,77.429111
-0.5,1,77.524199
-0.5,1,77.62251
-0.5,1,77.723967
-0.5,1,77.820498
-0.5,1,77.917253
-0.5,1,78.018885
-0.5,1,78.117367
-0.5,1,78.211926
-0.5,1,78.308623
-0.5,1,78.405466
-0.5,1,78.510339
-0.5,1,78.606292
-0.5,1,78.704007
-0.5,1,78.807078
-0.5,1,78.905058
-0.5,1,79.001749
-0.5,1,79.10079
-0.5,1,79.201997
-0.5,1,79.30207
-0.5,1,79.400898
-0.5,1,79.492658
-0.5,1,79.58934
-0.5,1,79.680979
-0.5,1,79.776125
-0.5,1,79.875293
-0.5,1,79.970378
-0.5,1,80.071392
-0.5,1,80.168469
-0.5,1,80.264408
-0.5,1,80.367473
-0.5,1,80.467637
-0.5,1,80.565879
-0.5,1,80.666918
-0.5,1,80.774179
-0.5,1,80.87737
